"","Site","Quadrat","Core_Length_cm","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Mean_Slice_Height_Corrected_cm","Slice_Area_cm2","Slice_Volume_cm3","OLOI","ILOI","Percent_Carbon","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Organic_Content_Density_g_per_ml","Inorganic_Content_Density_g_per_ml","Shell_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Sediment_Depth_cm_uncompressed","Sediment_Depth_Group"
"1","SJB02",1,42.5,0.85,50,19,3,"LOI alysis ","Y",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,3.391,1.251,1.2761049,0.615997667048332,0.601969602941877,0.0204669665000238,0.0078256048382444,0.0045669840992316,0.00961624842932788,"Seagrass",7.05882352941176,"0-10cm"
"2","SJB02",1,42.5,0.85,50,21,1,"LOI alysis ","Y",3.2,3.76470588235294,2.42016806722689,20.2682991638999,76.3041850876232,2.08,1,0.641712,1.09345247451615,1.07043932002163,0.0224792257204542,0.0107043932002163,0.018786649753927,0.00382809933248838,"Seagrass",3.76470588235294,"0-10cm"
"3","SJB02",1,42.5,0.85,50,20,2,"LOI alysis ","Y",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,2.573,1.165,0.8802747,0.834848048332447,0.827781594514995,0.0215223214573899,0.00993337913417994,0.00107988834302308,0.00611028083799857,"Seagrass",4.70588235294118,"0-10cm"
"4","SJB02",1,42.5,0.85,50,17,5,"LOI alysis ","Y",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,3.511,1.402,1.3341729,0.685592801232674,0.662778849442206,0.0231972597304772,0.00927890389219088,0.0201006012742122,0.0028181940447049,"Seagrass",11.7647058823529,"10-20cm"
"5","SJB02",1,42.5,0.85,50,1,21,"LOI alysis ","N",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,2.032,0.822,0.6184848,0.99492314756814,0.993203713701579,0.0198640742740316,0.00794562970961263,0.00174669318395772,NA,"Seagrass",49.4117647058824,"40-50cm"
"6","SJB02",1,42.5,0.85,50,2,20,"LOI alysis ","N",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,2.079,0.905,0.6412281,1.29584504292201,1.28196375975538,0.026921238954863,0.0115376738377984,0.0141979106225423,NA,"Seagrass",47.0588235294118,"40-50cm"
"7","SJB02",1,42.5,0.85,50,15,7,"LOI alysis ","N",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,2.727,1.107,0.9547953,0.797901188907075,0.769782154577095,0.0207841181735816,0.00846760370034804,0.0283308182574463,NA,"Seagrass",16.4705882352941,"10-20cm"
"8","SJB02",1,42.5,0.85,50,16,6,"LOI alysis ","N",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,2.972,1.405,1.0733508,0.806037046714705,0.799410935716738,0.0239823280715021,0.0111917531000343,0.0066596609270705,NA,"Seagrass",14.1176470588235,"10-20cm"
"9","SJB02",1,42.5,0.85,50,7,15,"LOI alysis ","N",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,3.77,1.156,1.459503,0.686200893697677,0.682007152559723,0.0259162717972695,0.00818408583071668,0.00418954739681577,NA,"Seagrass",35.2941176470588,"30-40cm"
"10","SJB02",1,42.5,0.85,50,12,10,"LOI alysis ","N",2,2.35294117647059,2.42016806722689,20.2682991638999,47.6901156797645,4.079,1.031,1.6090281,0.74032112308297,0.736441912530363,0.0301941184137449,0.00736441912530363,0.0038330794000897,NA,"Seagrass",23.5294117647059,"20-30cm"
"11","SJB02",2,42,0.84,50,22,1,"LOI analysis","Y",2.2,2.61904761904762,2.39177489177489,20.2682991638999,53.0836406673569,5.495,2.499,2.2942305,0.556631000220189,0.549039207439333,0.0301971564091633,0.0137259801859833,0.00311206989428643,0.00486967353312979,"Seagrass",2.61904761904762,"0-10cm"
"12","SJB02",2,42,0.84,50,21,2,"LOI analysis","Y",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,4.987,1.652,2.0484093,0.594597499402664,0.582785950832945,0.0291392975416473,0.00990736116416007,0.00829295041684486,0.00398277128964913,"Seagrass",4.76190476190476,"0-10cm"
"13","SJB02",2,42,0.84,50,18,5,"LOI analysis","Y",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,3.542,1.338,1.3491738,0.660182676987157,0.608522693505912,0.0212982942727069,0.00791079501557686,0.0513118536286638,0.00154586232158078,"Seagrass",11.9047619047619,"10-20cm"
"14","SJB02",2,42,0.84,50,18,5,"LOI analysis","Y",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,16.398,1.44,7.5701922,0.660182676987157,0.608522693505912,0.0997977217349696,0.00851931770908277,0.0513118536286638,0.00154586232158078,"Seagrass",11.9047619047619,"10-20cm"
"15","SJB02",2,42,0.84,50,20,3,"LOI analysis","Y",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,2.275,1.369,0.7360725,0.943328290419861,0.88663285728521,0.0203925557175598,0.0124128600019929,0.0557214984280255,0.00126197071560683,"Seagrass",7.14285714285714,"0-10cm"
"16","SJB02",2,42,0.84,50,17,6,"LOI analysis","Y",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,3.216,1.302,1.1914224,0.991133979104671,0.928014721309295,0.0296964710818975,0.0120641913770208,0.0645573656387768,0.000569855413451358,"Seagrass",14.2857142857143,"10-20cm"
"17","SJB02",2,42,0.84,50,13,10,"LOI analysis","N",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,1.611,1.034,0.4147629,0.807143207612504,0.796968698230518,0.0127514991716883,0.00796968698230518,0.012072645959155,NA,"Seagrass",23.8095238095238,"20-30cm"
"18","SJB02",2,42,0.84,50,8,15,"LOI analysis","N",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,3.361,1.026,1.2615879,0.778339606714417,0.778339606714417,0.0264635466282902,0.00778339606714417,0,NA,"Seagrass",35.7142857142857,"30-40cm"
"19","SJB02",2,42,0.84,50,16,7,"LOI analysis","N",2,2.38095238095238,2.39177489177489,20.2682991638999,48.2578551521426,4.004,1.219,1.5727356,0.872811273257135,0.852793806733716,0.0341117522693486,0.0102335256808046,0.0189337051371093,NA,"Seagrass",16.6666666666667,"10-20cm"
