"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhyzome_Removed","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"1","STCH20",1,0.910447761,33.5000000071393,6,9,"grainsize","N",2.19672131194356,44.5238047301868,0.760718905431644,0.760718905431644,0,"Seagrass",0,0.21,8.09,24.31,65.34,1.62,97.74
"2","STCH20",1,0.910447761,33.5000000071393,11,4,"grainsize","Y",2.19672131194356,44.5238047301868,0.868378168359597,0.865651537049993,0.000557005407563154,"Seagrass",0.23,1.95,10.42,20.46,64.52,1.77,95.4
"3","SMAR01",10,0.682926829,41.0000000161071,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"4","SMAR01",9,0.92,50,5,19,"grain size","N",2.17391304347826,44.0615199215215,0.998599233035277,0.998599233035277,0,"Seagrass",0,1.66,36,39.81,21.49,0.41,97.3
"5","SMAR01",9,0.92,50,10,14,"grain size","N",2.17391304347826,44.0615199215215,1.0659346314801,1.0659346314801,0,"Seagrass",0,0.36,24.14,42.93,31.8,0.62,98.87
"6","SMAR01",9,0.92,50,15,9,"grain size","N",2.17391304347826,44.0615199215215,0.805498767705116,0.805498767705116,0,"Seagrass",1.45,1.41,22.5,40.54,33.5,0.49,96.54
"7","SMAR01",9,0.92,50,20,4,"grain size","Y",2.17391304347826,44.0615199215215,0.553759834963892,0.553759834963892,0,"Seagrass",1.37,7.06,22.22,33.79,34.74,0.53,90.75
"8","SMAR01",8,0.72,50,5,NA,"grainsize ","",2.77777777777778,56.3008310108331,0.647262204584301,0.647262204584301,0,"Seagrass",0,0.05,23.64,34.35,39.89,1.72,97.88
"9","SMAR01",8,0.72,50,10,NA,"grainsize ","",2.77777777777778,56.3008310108331,0.740319445586515,0.740186232632721,0.000133212953793824,"Seagrass",0.55,0.18,16.52,33.97,46.96,1.68,97.45
"10","SMAR01",8,0.72,50,15,NA,"grainsize ","",2.77777777777778,56.3008310108331,0.578201056992148,0.575742833951473,0.00245822304067537,"Seagrass",0,0.48,21.38,36.84,39.7,1.32,97.92
"11","STCH06",1,0.876,50,3,19,"grainsize","N",2.28310502283105,46.2746556253423,0.865856254542438,0.865856254542438,0,"Seagrass",1.33,1.98,47.35,1.84,40,5.21,89.19
"12","STCH06",1,0.876,50,8,14,"grainsize","N",2.28310502283105,46.2746556253423,1.05840874098645,1.05840874098645,0,"Seagrass",0,0.36,37.71,2.4,55.27,3.28,95.38
"13","STCH06",1,0.876,50,13,9,"grainsize","N",2.28310502283105,46.2746556253423,0.992186746277065,0.992186746277065,0,"Seagrass",0.18,0.45,33.62,2.79,59.55,2.47,95.96
"14","STCH06",1,0.876,50,18,4,"grainsize","Y",2.28310502283105,46.2746556253423,0.715713592082622,0.713928597707542,0.00178499437508,"Seagrass",0.42,0.78,23.77,2.59,68.93,2.29,95.29
"15","STCH06",2,0.91,50,3,19,"grainsize","N",2.1978021978022,44.5457124481317,1.02426243722394,1.02426243722394,0,"Seagrass",0,0.12,13.08,32.42,50.44,2.89,95.94
"16","STCH06",2,0.91,50,8,14,"grainsize","N",2.1978021978022,44.5457124481317,1.0421676396815,1.0421676396815,0,"Seagrass",0,0.29,10.38,29.8,57.57,1.45,97.75
"17","STCH06",2,0.91,50,13,9,"grainsize","N",2.1978021978022,44.5457124481317,1.05300369939346,1.05300369939346,0,"Seagrass",6.34,2.57,13.56,37.15,39.32,0.62,90.03
"18","STCH06",2,0.91,50,18,4,"grainsize","Y",2.1978021978022,44.5457124481317,0.72178888231809,0.720855010173865,0.000805913701387118,"Seagrass",0,1.96,10.58,25.04,60.07,1.74,95.69
"19","STCH06",3,0.555,40,3,9,"grainsize ","",3.6036036036036,73.0389159059456,0.548425445574546,0.548425445574546,0,"Seagrass",0.4,0.94,10.27,28.48,58.1,1.18,96.85
"20","STCH06",3,0.555,40,8,5,"grainsize ","",3.6036036036036,73.0389159059456,0.40730067842612,0.406788622633176,0.000429907804771291,"Seagrass",0,1.11,9.32,22.74,64.3,1.87,96.36
"21","SMAR12",3,0.878,50,2,NA,"grainsize ","",2.27790432801822,46.1692463870157,1.05127555241296,1.05127555241296,0,"Seagrass",0,0.07,28.77,45.1,25.19,0.93,99.06
"22","SMAR12",3,0.878,50,7,NA,"grainsize ","",2.27790432801822,46.1692463870157,1.09106610876297,1.09096864128511,9.74674778591479e-05,"Seagrass",0,0,29.81,46.23,23.52,0.74,99.56
"23","SMAR12",3,0.878,50,12,NA,"grainsize ","",2.27790432801822,46.1692463870157,0.928901885044871,0.92877626029563,0.000125624749240679,"Seagrass",0,0,19.22,43.72,34.23,2.18,97.17
"24","SMAR12",3,0.878,50,17,NA,"grainsize ","",2.27790432801822,46.1692463870157,0.824167665225335,0.8222161497242,0.00195151550113538,"Seagrass",0.06,0.11,21.32,42.18,34.16,1.33,97.66
