"","Region","Site","Cover_Level","SAV_Cover","Secchi_m","Depth_m","Thalassia.testudinum","Syringodium.filiforme","Halodule.wrightii","Algal_Spp","Total_Seagrass_Cover","Total_Algae_Cover","Latitude","Longitude","Salinity.Min","Nitrate.Mean","Light.bottom.Min","Par.Mean","Dist_To_River","Dist_To_Shore","Seagrass_Biomass_g_per_sqm","Macro_Algae_Biomass_g_per_sqm","Thalassia_testudinum_g_per_sqm","Syringodium_filiforme_g_per_sqm","Halodule_wrightii_g_per_sqm","Factor","OLOI","ILOI","Carbon","Rhizome_Stock_g_per_sqm","Shell_Stock_g_per_sqm","Organic_Carbon_Stock_g_per_sqm","Inorganic_Carbon_Stock_g_per_sqm","Total_Carbon_Stock_g_per_sqm","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","TH_PA","SY_PA","HA_PA","FWCC_Seagrass_Extent"
"1","Saint Joe Bay","SJB02","high",85,0.6,0.6,100,0,0,0,85,0,29.73875,-85.38572,31.3329925537109,6.38684225082397,9.30147171020508,39.8956909179688,93.2893600463867,0.403075814247131,79.2378666666667,0.171200000000006,79.2378666666667,0,0,"Seagrass",3.70459259259259,1.15142962962963,1.42785235555556,1028.36699969005,15728.484519186,13615.517197135,1365.16462912654,14980.6818262615,1.15916666666667,0.761388888888889,8.08305555555556,55.6102777777778,33.5658333333333,0.137222222222222,1,0,0,"Continuous"
"2","Saint Joe Bay","SJB06","high",87.9,0.4,0.4,0,0,100,0,87.9,0,29.79887,-85.30312,31.8869075775146,6.71570014953613,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534,63.2485333333333,0.193599999999996,2.3776,0,60.8709333333333,"Seagrass",1.79051851851852,0.567222222222222,0.519693303703704,1155.10432378556,3672.31018644387,6672.68185954459,899.810743163718,7572.49260270831,0.4,0.482222222222222,2.41333333333333,39.7388888888889,56.1588888888889,0.0277777777777778,0,0,1,"Continuous"
"3","Saint Joe Bay","SJB07","high",87,0.6,0.6,54.4,0,45.6,0,87,0,29.80502,-85.30295,31.8303852081299,6.71863746643066,10.5924158096313,39.7610015869141,83.5068969726562,0.122568935155869,122.034533333333,0.659200000000006,77.5348,0,44.4997333333333,"Seagrass",0.879208333333333,1.8645,0.100359570833333,1039.71888133896,42478.2806410056,1202.15059365865,2806.0807934639,4008.23138712255,1.95,1.73,4.38,48.8366666666667,42.5933333333333,0.0183333333333333,1,0,1,"Discontinuous"
"4","Saint Joe Bay","SJB10","high",97.9,0.6,0.6,100,0,0,0,97.9,0,29.72733,-85.32773,29.5471477508545,6.52248430252075,12.9615535736084,39.9022102355957,88.4507598876953,2.04923152923584,207.9164,0,207.9164,0,0,"Seagrass",2.37972222222222,1.62540740740741,0.786747583333333,316.388988282171,43338.6143009241,8681.59253964249,2168.84108747987,10850.4336271224,1.07694444444444,1.82944444444444,10.3255555555556,45.6222222222222,40.0416666666667,0.142222222222222,1,0,0,"Continuous"
"5","Saint Joe Bay","SJB13","high",93.5,0.8,0.8,38.8,22.6,33.6,0,89.75,0,29.77447,-85.30693,29.8331031799316,6.48519897460938,14.3492727279663,39.8684959411621,84.8476943969727,0.335321635007858,260.988,0.0944000000000003,134.1008,12.9984,110.7336,"Seagrass",0.804777777777778,0.584296296296296,0.0794550333333333,1318.0188324623,4129.23609997125,969.869660317067,941.876981885401,1911.74664220247,0.0711111111111111,0.198888888888889,2.03222222222222,32.3166666666667,65.1244444444444,0.0277777777777778,1,1,1,"Continuous"
"6","Saint Joe Bay","SJB14","high",73.5,1.3,1.3,100,0,0,0,73.5,0,29.76002,-85.31073,29.7945003509521,6.49114990234375,14.1268396377563,39.8736038208008,85.6339340209961,0.322391331195831,119.22784,0.0655999999999963,119.22784,0,0,"Seagrass",1.46981481481481,1.20740740740741,0.350850151851852,1195.46291497198,18571.512089845,4499.02403376414,2006.11444744208,6505.13848120622,0.567222222222222,0.935555555555555,4.055,46.385,47.7766666666667,0.0188888888888889,1,0,0,"Continuous"
"7","Saint Joe Bay","SJB16","high",63.5,1.4,1.4,100,0,0,0,63.5,0,29.821,-85.406,33.0433578491211,6.31046199798584,9.51949501037598,39.787841796875,92.8095626831055,0.122561194002628,141.0064,0,141.0064,0,0,"Seagrass",1.18458333333333,0.611541666666667,0.22200585,1077.57767388629,20177.9593521637,2690.67689916891,964.916929726081,3655.59382889499,0.218888888888889,0.654444444444444,5.39222222222222,41.2577777777778,52.1255555555556,0.0477777777777778,1,0,0,"Continuous"
"8","Saint Joe Bay","SJB17","high",100,0.8,0.8,97.4,0,0,2.6,97.4,2.6,29.7482,-85.31043,29.6298427581787,6.49149179458618,14.1360054016113,39.8802070617676,86.047004699707,0.56425017118454,103.1884,4.13173333333333,103.1436,0,0.0447999999999951,"Seagrass",3.57511111111111,1.97775925925926,1.36519626666667,1400.31483502826,24810.2273922798,11845.6244377572,2128.59471313148,13974.2191508887,0.881111111111111,1.02444444444444,6.60777777777778,25.4055555555556,65.0544444444444,0.273333333333333,1,0,0,"Continuous"
"9","Saint Joe Bay","SJB24","high",78.8,0.8,0.8,100,0,0,0,78.8,0,29.82092,-85.40592,33.0433578491211,6.31046199798584,9.51949501037598,39.787841796875,92.8095626831055,0.122561194002628,115,0,115,0,0,"Seagrass",2.01675,0.705833333333333,0.611105325,2766.0929783322,22239.1625639134,6951.49035970971,935.658431259854,7887.14879096956,0.325,0.393333333333333,2.47777777777778,48.8988888888889,46.6305555555556,0.0455555555555556,1,0,0,"Continuous"
"10","Saint Joe Bay","SJBA","none",0,0.65,0.65,0,0,0,0,0,0,29.8035,-85.303,31.8445167541504,6.71790313720703,10.5860967636108,39.7610321044922,83.5552368164062,0.161126255989075,NA,NA,NA,NA,NA,"Control",0.861134259259259,0.668625,0.168165947222222,0,313.399919843649,2565.25725063478,1146.38221934094,3711.63946997573,0.0116666666666667,0.124444444444444,1.74111111111111,41.0438888888889,56.9494444444444,0.0133333333333333,0,0,0,"Continuous"
"11","Saint Joe Bay","SJBB","none",0,0.5,0.5,0,0,0,0,0,0,29.7986,-85.303,31.8869075775146,6.71570014953613,10.5671377182007,39.7611236572266,83.7025299072266,0.241701394319534,NA,NA,NA,NA,NA,"Control",0.601717592592593,0.987847222222222,0.0406528962962963,0,13911.0345164753,568.896923014892,1652.4666731061,2221.36359612099,0.36,0.652777777777778,2.61277777777778,41.2672222222222,55.0266666666667,0.00388888888888889,0,0,0,"Continuous"
"12","Saint Joe Bay","SJBC","none",0,1.05,1.05,0,0,0,0,0,0,29.8256,-85.4084,32.943058013916,6.31030941009521,9.55621910095215,39.7932815551758,92.9473495483398,0.122559040784836,NA,NA,NA,NA,NA,"Control",0.57075,0.446222222222222,0.0516064863756614,0,3003.37388603887,673.089235919655,801.934146473725,1475.02338239338,0.00833333333333333,0.315,2.27833333333333,61.8066666666667,35.5333333333333,0,0,0,0,NA
"13","Saint Marks","SMAR01","high",60.5,NA,NA,67,30.5,1.5,2,59.8,1.2,30.06016,-84.17051,31.4691619873047,5.52877759933472,11.1792936325073,39.9450759887695,11.0536994934082,1.31557023525238,132.7264,45.1472,105.18,27.5464,0,"Seagrass",3.9284287037037,2.32768796296296,1.53616664972222,181.103832984888,4463.89938378724,11883.7143943041,2373.93973382442,14257.6541281285,0.444166666666667,1.42958333333333,23.3641666666667,37.1604166666667,36.2829166666667,1.04291666666667,1,1,1,"Continuous"
