"","Reference","Date","Region","Site","month","year","Latitude","Longitude","Latitude_Actual","Longitude_Actual","Depth_m","Secchi_m","Quadrat","Epiphite_Blade_Load","Epiphite_Shoot_Load","Seagrass_Health","SAV_Cover","Mono_Mixed","Seagrass_Landscape","Cover_Level","Notes","Acanthophora spicifera","Caulerpa verticillata","Halimeda incrassata","Halodule wrightii","Halophila decipens","Halophila engelmanni","Penicillus capitatus","Ruppia maritima","Sargassum","Syringodium filiforme","Thalassia testudinum","Udotea flabellum","Dist_To_River","Dist_To_Shore","Chlorophyll.Max","Chlorophyll.Mean","Light.bottom.Mean","Light.bottom.Min","Nitrate.Mean","Nitrate.Min","Nitrate.Range","Phytoplankton.Max","Phytoplankton.Mean","Salinity.Max","Salinity.Min","Par.Max","Par.Mean"
"1","6/25/2019_Steinhatchee_STCH06_1","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,1,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,100,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"2","6/25/2019_Steinhatchee_STCH06_2","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,2,0,0,100,75,"mixed","continuous vegetated","high","",0,0,0,0,1,0,0,0,0,99,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"3","6/25/2019_Steinhatchee_STCH06_3","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,3,0,0,100,70,"mixed","continuous vegetated","high","",75,0,0,0,10,0,0,0,0,10,5,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"4","6/25/2019_Steinhatchee_STCH06_4","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,4,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,25,0,0,0,0,75,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"5","6/25/2019_Steinhatchee_STCH06_5","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,5,0,0,100,80,"mixed","continuous vegetated","high","",0,0,0,0,0,0,0,0,0,50,50,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"6","6/25/2019_Steinhatchee_STCH06_6","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,6,0,0,100,75,"mixed","continuous vegetated","high","",25,0,0,0,0,0,0,0,0,75,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"7","6/25/2019_Steinhatchee_STCH06_7","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,7,0,0,100,80,"mixed","continuous vegetated","high","",9,0,0,0,1,0,0,0,0,90,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"8","6/25/2019_Steinhatchee_STCH06_8","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,8,0,0,100,80,"mixed","continuous vegetated","high","",5,0,0,0,0,0,0,0,0,95,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"9","6/25/2019_Steinhatchee_STCH06_9","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,9,0,0,100,45,"mixed","continuous vegetated","high","",5,0,0,0,0,0,0,0,0,95,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"10","6/25/2019_Steinhatchee_STCH06_10","6/25/2019","Steinhatchee","STCH06",6,2019,29.6414,-83.4146,NA,NA,1.2,0.6,10,0,0,100,60,"mixed","continuous vegetated","high","",0,0,0,0,1,0,0,0,0,99,0,0,2.86228513717651,1.04900932312012,0.695411562919617,0.14682799577713,19.1613330841064,12.4993104934692,5.01534986495972,1.20059633255005,9.97802734375,3.72150135040283,1.10375881195068,34.3174209594727,31.5248260498047,56.6266174316406,41.4161643981934
"11","6/25/2019_Steinhatchee_STCH05_1","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,1,0,0,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",25,0,0,0,0,0,0,75,0,0,0,0,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
"12","6/25/2019_Steinhatchee_STCH05_2","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,2,0,0,100,70,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,20,0,0,0,0,80,0,0,0,0,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
"13","6/25/2019_Steinhatchee_STCH05_3","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,3,0,0,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",90,0,0,0,0,0,0,9,0,0,0,10,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
"14","6/25/2019_Steinhatchee_STCH05_4","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,4,70,70,100,50,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",5,0,25,0,0,0,0,0,0,0,0,70,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
"15","6/25/2019_Steinhatchee_STCH05_5","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,5,25,70,100,45,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",20,0,25,0,0,0,0,5,0,0,0,25,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
"16","6/25/2019_Steinhatchee_STCH05_6","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,6,100,10,100,80,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",60,0,30,0,0,0,0,10,0,0,0,0,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
"17","6/25/2019_Steinhatchee_STCH05_7","6/25/2019","Steinhatchee","STCH05",6,2019,29.64167,-83.40833,NA,NA,1.25,0.5,7,80,80,100,90,"mixed","continuous vegetated","low","Low seagrass cover high algal cover",0,0,20,0,0,0,0,10,0,0,0,20,2.56069707870483,0.413902401924133,0.696383833885193,0.146708279848099,20.0398292541504,12.6311635971069,5.01302337646484,1.19960379600525,9.9837760925293,3.72434258460999,1.10277163982391,34.3159408569336,31.517541885376,56.6822509765625,41.4642715454102
