Prep Date,Site number,Quadrat,Bagged_Slice_Number,Slice_Number,Intended Analysis,Rhizome (Y/N),Slice Height (cm; if bag says otherwise),Crucible Number,Crucible Weight (g),Wet Weight (g),Bake Start Date,Bake Start Time (EST),Dry Weight (g),End Date,End Time (EST),Processing notes
2/11/2020,SMARA,1,12,1,LOI analysis,Y,2.7,25,37.4411,141.6129,2/13/2020,9:30,96.8669,2/19/2020,4:30,
2/18/2020,SMAR23,1,1,20,LOI analysis,N,2,C52,36.299,108.047,2/19/2020,5:00,82.1933,2/24/2020,4:20,
2/18/2020,SMAR23,1,2,19,gainsize,N,2,5,43.2483,118.9263,2/19/2020,5:00,93.4146,2/24/2020,4:20,
2/18/2020,SMAR23,1,6,15,LOI analysis,N,2,C59,40.15,113.6736,2/19/2020,5:00,87.0142,2/24/2020,4:20,
2/18/2020,SMAR23,1,7,14,grainsize,N,2,C60,40.0148,116.6805,2/19/2020,5:00,90.348,2/24/2020,4:20,
2/18/2020,SMAR23,1,11,10,LOI analysis,N,2,C72,34.7788,110.8496,2/19/2020,5:00,87.1168,2/24/2020,4:20,
2/18/2020,SMAR23,1,12,9,grainsize,N,2,C34,34.314,106.9437,2/19/2020,5:00,82.2896,2/24/2020,4:20,
2/18/2020,SMAR23,1,14,7,LOI analysis,N,2,16,42.1486,114.3161,2/19/2020,5:00,82.047,2/24/2020,4:20,
2/18/2020,SMAR23,1,15,6,LOI analysis,Y,2,28,41.1082,111.3343,2/19/2020,5:00,79.1038,2/24/2020,4:20,
2/18/2020,SMAR23,1,16,5,LOI analysis,Y,2,15,42.0199,120.0436,2/19/2020,5:00,78.3797,2/24/2020,4:20,
2/18/2020,SMAR23,1,17,4,grainsize,Y,2,C57,35.4151,97.8396,2/19/2020,5:00,64.7672,2/24/2020,4:20,
2/18/2020,SMAR23,1,18,3,LOI analysis,Y,2,C51,34.2743,97.2952,2/19/2020,5:00,66.1956,2/24/2020,4:20,
2/18/2020,SMAR23,1,19,2,LOI analysis,Y,2,4,42.7178,106.5709,2/19/2020,5:00,81.9299,2/24/2020,4:20,
2/18/2020,SMAR23,1,20,1,LOI analysis,Y,2.4,C61,36.5743,115.8096,2/19/2020,5:00,90.2915,2/24/2020,4:20,
2/18/2020,SMARA,2,1,13,LOI analysis,N,2,C63,38.8239,113.568,2/19/2020,5:00,84.914,2/24/2020,5:00,
2/18/2020,SMARA,2,4,10,LOI analysis,N,2,3,43.6077,116.0314,2/19/2020,5:00,91.7014,2/24/2020,5:00,
2/18/2020,SMARA,2,5,9,grainsize,N,2,73,34.7938,109.9206,2/19/2020,5:00,83.3612,2/24/2020,5:00,
2/18/2020,SMARA,2,7,7,LOI analysis,N,2,C62,42.2825,108.0713,2/19/2020,5:00,84.2497,2/24/2020,5:00,
2/18/2020,SMARA,2,8,6,LOI analysis,Y,2,C54,35.2845,109.3353,2/19/2020,5:00,85.4724,2/24/2020,5:00,
2/18/2020,SMARA,2,9,5,LOI analysis,Y,2,C58,35.3186,112.6835,2/19/2020,5:00,94.4623,2/24/2020,5:00,
2/18/2020,SMARA,2,10,4,grainsize,Y,2,C45,37.8469,120.2509,2/19/2020,5:00,89.9841,2/24/2020,5:00,
2/18/2020,SMARA,2,11,3,LOI analysis,Y,2,C35,34.4657,102.4539,2/19/2020,5:00,68.289,2/24/2020,5:00,
2/18/2020,SMARA,2,12,2,LOI analysis,Y,2,C44,33.9876,96.4762,2/19/2020,5:00,65.4969,2/24/2020,5:00,
2/18/2020,SMARA,2,13,1,LOI analysis,Y,2.8,C64,33.7161,142.7948,2/19/2020,5:00,97.0429,2/24/2020,5:00,
2/18/2020,SMAR12,3,1,20,LOI analysis,N,2,C41,33.1505,109.2664,2/19/2020,5:00,84.9781,2/24/2020,5:20,
2/18/2020,SMAR12,3,2,19,grainsize,N,2,C33,37.6061,110.8824,2/19/2020,5:00,86.1759,2/24/2020,5:20,
2/18/2020,SMAR12,3,6,15,LOI analysis,N,2,22,39.6491,111.7263,2/19/2020,5:00,90.4914,2/24/2020,5:20,
2/18/2020,SMAR12,3,7,14,grainsize,N,2,C68,40.6304,119.6287,2/19/2020,5:00,90.9844,2/24/2020,5:20,
2/18/2020,SMAR12,3,11,10,LOI analysis,N,2,17,36.3751,111.7328,2/19/2020,5:00,79.7846,2/24/2020,5:20,
2/18/2020,SMAR12,3,12,9,grainsize,N,2,C47,36.0106,108.0514,2/19/2020,5:00,78.8667,2/24/2020,5:20,
2/18/2020,SMAR12,3,14,7,LOI analysis,N,2,C66,36.2154,108.2092,2/19/2020,5:00,82.5484,2/24/2020,5:20,
2/18/2020,SMAR12,3,15,6,LOI analysis,Y,2,C42,36.2091,105.9613,2/19/2020,5:00,79.772,2/24/2020,5:20,
2/18/2020,SMAR12,3,16,5,LOI analysis,Y,2,C43,35.3889,106.4728,2/19/2020,5:00,79.066,2/24/2020,5:20,
2/18/2020,SMAR12,3,17,4,grainsize,Y,2,C74,35.3821,100.7747,2/19/2020,5:00,73.3864,2/24/2020,5:20,
2/18/2020,SMAR12,3,18,3,LOI analysis,Y,2,C37,37.3662,106.4656,2/19/2020,5:00,75.1297,2/24/2020,5:20,
2/18/2020,SMAR12,3,19,2,LOI analysis,Y,2,C56,35.825,100.1385,2/19/2020,5:00,72.6223,2/24/2020,5:20,
2/18/2020,SMAR12,3,20,1,LOI analysis,Y,3.6,SA4,2.5121,125.6171,2/19/2020,5:00,83.054,2/24/2020,5:20,
2/21/2020,SMARB,1,1,22,LOI analysis,N,2,23,43.3556,101.9721,2/24/2020,8:45,83.4344,2/28/2020,10:20,
2/21/2020,SMARB,1,3,20,LOI analysis,N,2,14,41.1131,105.8195,2/24/2020,8:45,87.7166,2/28/2020,10:20,
2/21/2020,SMARB,1,4,19,grainsize,N,2,21,38.5241,106.4478,2/24/2020,8:45,86.6545,2/28/2020,10:20,
2/21/2020,SMARB,1,8,15,LOI analysis,N,2,C76,34.5881,89.9127,2/24/2020,8:45,72.3271,2/28/2020,10:20,
2/21/2020,SMARB,1,9,14,grainsize,N,2,10,41.9723,101.95,2/24/2020,8:45,82.9524,2/28/2020,10:20,
2/21/2020,SMARB,1,13,10,LOI analysis,N,2,13,39.7137,101.2355,2/24/2020,8:45,82.4505,2/28/2020,10:20,
2/21/2020,SMARB,1,14,9,grainsize,N,2,C31,37.1822,102.3409,2/24/2020,8:45,81.7338,2/28/2020,10:20,
2/21/2020,SMARB,1,16,7,LOI analysis,N,2,C78,34.2654,89.8102,2/24/2020,8:45,71.8031,2/28/2020,10:20,
2/21/2020,SMARB,1,17,6,LOI analysis,Y,2,8,40.0951,101.9024,2/24/2020,8:45,81.2003,2/28/2020,10:20,
2/21/2020,SMARB,1,18,5,LOI analysis,Y,2,C75,33.3338,87.1234,2/24/2020,8:45,66.06,2/28/2020,10:20,
2/21/2020,SMARB,1,19,4,grainsize,Y,2,C55,34.8156,92.3951,2/24/2020,8:45,68.9385,2/28/2020,10:20,
2/21/2020,SMARB,1,20,3,LOI analysis,Y,2,18,40.7958,93.4527,2/24/2020,8:45,68.175,2/28/2020,10:20,
2/21/2020,SMARB,1,21,2,LOI analysis,Y,2,9,40.3478,87.1473,2/24/2020,8:45,64.3305,2/28/2020,10:20,
2/21/2020,SMARB,1,22,1,LOI analysis,Y,2.2,11,40.7795,110.677,2/24/2020,8:45,84.5801,2/28/2020,10:20,
2/26/2020,SMAR23,3,1,16,LOI analysis,N,2,27,39.5098,109.6376,2/26/2020,11:12,79.314,3/2/2020,9:25,
2/26/2020,SMAR23,3,2,15,LOI analysis,N,2,29,41.6145,111.0952,2/26/2020,11:12,78.2952,3/2/2020,9:25,
2/26/2020,SMAR23,3,3,14,grainsize,N,2,C38,35.6238,103.963,2/26/2020,11:12,76.1987,3/2/2020,9:25,
2/26/2020,SMAR23,3,7,10,LOI analysis,N,2,C69,34.6242,98.0549,2/26/2020,11:12,79.8374,3/2/2020,9:25,
2/26/2020,SMAR23,3,8,9,grainsize,N,2,1,38.919,100.5395,2/26/2020,11:12,82.2695,3/2/2020,9:25,
2/26/2020,SMAR23,3,10,7,LOI analysis,N,2,20,39.2118,102.3072,2/26/2020,11:12,79.5907,3/2/2020,9:25,
2/26/2020,SMAR23,3,11,6,LOI analysis,Y,2,30,38.3442,96.7146,2/26/2020,11:12,75.9479,3/2/2020,9:25,
2/26/2020,SMAR23,3,12,5,LOI analysis,Y,2,2,37.2297,105.228,2/26/2020,11:12,81.8938,3/2/2020,9:25,
2/26/2020,SMAR23,3,13,4,grainsize,Y,2,C49,38.758,99.5251,2/26/2020,11:12,72.8881,3/2/2020,9:25,
2/26/2020,SMAR23,3,14,3,LOI analysis,Y,2,C71,36.7472,91.717,2/26/2020,11:12,59.7402,3/2/2020,9:25,
2/26/2020,SMAR23,3,15,2,LOI analysis,Y,2,25,37.4377,80.4099,2/26/2020,11:12,56.5496,3/2/2020,9:25,
2/26/2020,SMAR23,3,16,1,LOI analysis,Y,2.6,6,38.9234,97.8899,2/26/2020,11:12,72.5703,3/2/2020,9:25,
2/26/2020,SMARB,2,1,19,LOI analysis,N,2,C36,32.6587,92.3366,3/6/2020,11:12,74.487,3/11/2020,10:05,
2/26/2020,SMARB,2,5,15,LOI analysis,N,2,7,40.3195,107.4377,3/6/2020,11:12,88.0263,3/11/2020,10:05,
2/26/2020,SMARB,2,6,14,grainsize,N,2,C32,33.3319,95.5362,3/6/2020,11:12,75.7377,3/11/2020,10:05,
2/26/2020,SMARB,2,10,10,LOI analysis,N,2,C39,29.8234,94.0999,3/6/2020,11:12,75.0665,3/11/2020,10:05,
2/26/2020,SMARB,2,11,9,grainsize,N,2,C40,37.0983,102.4046,3/6/2020,11:12,83.978,3/11/2020,10:05,
2/26/2020,SMARB,2,13,7,LOI analysis,N,2,12,40.0698,105.3882,3/6/2020,11:12,86.9449,3/11/2020,10:05,
2/26/2020,SMARB,2,14,6,LOI analysis,Y,2,C77,34.9343,102.7444,3/6/2020,11:12,85.064,3/11/2020,10:05,
2/26/2020,SMARB,2,15,5,LOI analysis,Y,2,26,41.9733,105.9524,3/6/2020,11:12,87.9532,3/11/2020,10:05,
2/26/2020,SMARB,2,16,4,grainsize,Y,2,24,37.9379,96.8826,3/6/2020,11:12,78.0355,3/11/2020,10:05,
2/26/2020,SMARB,2,17,3,LOI analysis,Y,2,C65,38.9276,93.5331,3/6/2020,11:12,73.6656,3/11/2020,10:05,
2/26/2020,SMARB,2,18,2,LOI analysis,Y,2,C50,32.3287,92.65605,3/6/2020,11:12,69.5228,3/11/2020,10:05,
2/26/2020,SMARB,2,19,1,LOI analysis,Y,3.9,SA24,2.5144,125.0681,3/6/2020,11:12,85.6334,3/11/2020,10:05,
3/11/2020,SMARA,3,1,14,LOI analysis,N,2,C38,35.6134,106.1518,3/11/2020,12:13,83.1622,3/17/2020,9:15,
3/11/2020,SMARA,3,5,10,LOI analysis,N,2,29,41.1853,106.865,3/11/2020,12:13,81.2607,3/17/2020,9:15,
3/11/2020,SMARA,3,6,9,grainsize,N,2,C77,34.8963,107.5745,3/11/2020,12:13,80.8241,3/17/2020,9:15,
3/11/2020,SMARA,3,8,7,LOI analysis,N,2,C71,36.7367,101.9215,3/11/2020,12:13,79.164,3/17/2020,9:15,
3/11/2020,SMARA,3,9,6,LOI analysis,Y,2,C65,38.9375,113.6993,3/11/2020,12:13,92.4465,3/17/2020,9:15,
3/11/2020,SMARA,3,10,5,LOI analysis,Y,2,C36,32.6417,105.2612,3/11/2020,12:13,85.5137,3/17/2020,9:15,
3/11/2020,SMARA,3,11,4,grainsize,Y,2,7,40.3174,114.9592,3/11/2020,12:13,86.9378,3/17/2020,9:15,
3/11/2020,SMARA,3,12,3,LOI analysis,Y,2,25,37.4254,99.0551,3/11/2020,12:13,66.6143,3/17/2020,9:15,
3/11/2020,SMARA,3,13,2,LOI analysis,Y,2,6,41.0888,104.9388,3/11/2020,12:13,75.6413,3/17/2020,9:15,
3/11/2020,SMARA,3,14,1,LOI analysis,Y,2.5,C32,33.3267,119.1227,3/11/2020,12:13,81.3453,3/17/2020,9:15,
3/11/2020,SMAR23,2,1,19,LOI analysis,N,2,C69,34.6215,109.9508,3/11/2020,12:13,81.2967,3/17/2020,9:15,
3/11/2020,SMAR23,2,5,15,LOI analysis,N,2,2,37.1538,100.7961,3/11/2020,12:13,78.8054,3/17/2020,9:15,
3/11/2020,SMAR23,2,6,14,grainsize,N,2,26,41.965,112.7845,3/11/2020,12:13,90.9021,3/17/2020,9:15,
3/11/2020,SMAR23,2,10,10,LOI analysis,N,2,1,38.9048,104.3241,3/11/2020,12:13,84.9066,3/17/2020,9:15,
3/11/2020,SMAR23,2,11,9,grainsize,N,2,C39,29.8137,100.3361,3/11/2020,12:13,80.8551,3/17/2020,9:15,
3/11/2020,SMAR23,2,13,7,LOI analysis,N,2,12,40.0549,103.0607,3/11/2020,12:13,84.1847,3/17/2020,9:15,
3/11/2020,SMAR23,2,14,6,LOI analysis,Y,2,C40,37.0991,98.9178,3/11/2020,12:13,78.6912,3/17/2020,9:15,
3/11/2020,SMAR23,2,15,5,LOI analysis,Y,2,20,39.0709,102.0892,3/11/2020,12:13,82.0135,3/17/2020,9:15,
3/11/2020,SMAR23,2,16,4,grainsize,Y,2,C50,32.3268,94.3394,3/11/2020,12:13,73.004,3/17/2020,9:15,
3/11/2020,SMAR23,2,17,3,LOI analysis,Y,2,30,38.3202,105.5906,3/11/2020,12:13,76.5808,3/17/2020,9:15,
3/11/2020,SMAR23,2,18,2,LOI analysis,Y,2,9,40.3476,96.5168,3/11/2020,12:13,72.4204,3/17/2020,9:15,
3/11/2020,SMAR23,2,19,1,LOI analysis,Y,3.7,SA8,2.5285,116.0621,3/11/2020,12:13,74.1797,3/17/2020,9:15,
3/11/2020,SMARB,3,1,19,LOI analysis,N,2,21,38.5238,106.2031,3/11/2020,12:13,86.012,3/17/2020,9:15,
3/11/2020,SMARB,3,5,15,LOI analysis,N,2,C76,34.574,100.4635,3/11/2020,12:13,77.008,3/17/2020,9:15,
3/11/2020,SMARB,3,6,14,grainsize,N,2,8,40.0731,110.5995,3/11/2020,12:13,85.763,3/17/2020,9:15,
3/11/2020,SMARB,3,10,10,LOI analysis,N,2,C31,36.9636,102.3941,3/11/2020,12:13,78.199,3/17/2020,9:15,
3/11/2020,SMARB,3,11,9,grainsize,N,2,C55,34.7672,99.9124,3/11/2020,12:13,78.8898,3/17/2020,9:15,
3/11/2020,SMARB,3,13,7,LOI analysis,N,2,C78,34.208,112.4247,3/11/2020,12:13,84.2683,3/17/2020,9:15,
3/11/2020,SMARB,3,14,6,LOI analysis,Y,2,11,40.7669,103.666,3/11/2020,12:13,84.1038,3/17/2020,9:15,
3/11/2020,SMARB,3,15,5,LOI analysis,Y,2,18,40.7945,107.4728,3/11/2020,12:13,86.1971,3/17/2020,9:15,
3/11/2020,SMARB,3,16,4,grainsize,Y,2,C75,33.3021,105.8261,3/11/2020,12:13,76.8989,3/17/2020,9:15,
3/11/2020,SMARB,3,17,3,LOI analysis,Y,2,23,43.3939,100.7304,3/11/2020,12:13,78.98,3/17/2020,9:15,
3/11/2020,SMARB,3,18,2,LOI analysis,Y,2,13,39.711,98.142,3/11/2020,12:13,78.7756,3/17/2020,9:15,
3/11/2020,SMARB,3,19,1,LOI analysis,Y,3.1,SA14,2.4838,103.18,3/11/2020,12:13,73.8391,3/17/2020,9:15,
8/4/2020,SJB14,2,18,1,LOI analysis ,Y,3.1,SA2,2.4945,138.5482,8/4/2020,11:48,109.117,,,
8/4/2020,SJB14,2,17,2,LOI analysis ,Y,2,20,39.0325,114.5852,8/4/2020,11:48,97.2603,,,
8/4/2020,SJB14,2,16,3,LOI analysis ,Y,2,C55,34.9306,113.9729,8/4/2020,11:48,93.9821,,,
8/4/2020,SJB14,2,15,4,grainsize,Y,2,18,40.8217,109.2951,8/4/2020,11:48,92.309,,,
8/4/2020,SJB14,2,14,5,LOI analysis ,Y,2,30,38.5606,112.681,8/4/2020,11:48,93.5356,,,
8/4/2020,SJB14,2,13,6,LOI analysis ,Y,2,29,41.1988,106.1387,8/4/2020,11:48,89.4797,,,
8/4/2020,SJB14,2,12,7,LOI analysis ,N,2,12,40.0775,111.0261,8/4/2020,11:48,92.0356,,,
8/4/2020,SJB14,2,10,9,grainsize,N,2,C32,33.3464,102.0091,8/4/2020,11:48,97.2646,,,
8/4/2020,SJB14,2,9,10,LOI analysis ,N,2,6,41.1102,126.2775,8/4/2020,11:48,107.3762,,,
8/4/2020,SJB14,2,5,15,grainsize,N,2,C71,36.757,99.8895,8/4/2020,11:48,85.9488,,,
8/4/2020,SJB14,2,4,16,LOI analysis ,N,2,C77,34.9147,98.5295,8/4/2020,11:48,84.8924,,,
8/4/2020,SJB14,2,1,19,LOI analysis ,N,2,C38,35.6197,103.5663,8/4/2020,11:48,88.6716,,,
8/4/2020,SJB17,3,17,1,LOI analysis ,Y,3,SA21,2.4981,93.1644,8/4/2020,11:48,62.0806,,,
8/4/2020,SJB17,3,16,2,LOI analysis ,Y,2,17,36.3942,92.0066,8/4/2020,11:48,67.3077,,,
8/4/2020,SJB17,3,15,3,LOI analysis ,Y,2,C37,37.3849,103.3005,8/4/2020,11:48,70.8366,,,
8/4/2020,SJB17,3,14,4,grainsize,Y,2,14,41.0964,102.8145,8/4/2020,11:48,78.1675,,,
8/4/2020,SJB17,3,13,5,LOI analysis ,Y,2,C57,35.4333,98.6239,8/4/2020,11:48,66.7657,,,
8/4/2020,SJB17,3,12,6,LOI analysis ,Y,2,73,34.8624,88.2184,8/4/2020,11:48,69.9402,,,
8/4/2020,SJB17,3,11,7,LOI analysis ,N,2,C41,33.1619,104.2972,8/4/2020,11:48,71.3448,,,
8/4/2020,SJB17,3,9,9,grainsize,N,2,25,37.4327,104.1284,8/4/2020,11:48,76.3821,,,
8/4/2020,SJB17,3,8,10,LOI analysis ,N,2,7,40.3396,124.9872,8/4/2020,11:48,88.888,,,
8/4/2020,SJB17,3,4,14,grainsize,N,2,C65,38.9565,123.5546,8/4/2020,11:48,82.9473,,,
8/4/2020,SJB17,3,3,15,LOI analysis ,N,2,C36,32.6575,110.3948,8/4/2020,11:48,72.7407,,,
8/4/2020,SJB17,3,1,17,LOI analysis ,N,2,10,41.9377,114.1974,8/4/2020,11:48,81.695,,,
8/4/2020,SJB07,2,14,1,LOI analysis ,Y,1.5,22,39.6061,95.9624,8/4/2020,11:48,80.5655,,,
8/4/2020,SJB07,2,13,2,LOI analysis ,Y,2,69,35.3062,97.7172,8/4/2020,11:48,80.9184,,,
8/4/2020,SJB07,2,12,3,LOI analysis ,Y,2,11,40.8779,111.3718,8/4/2020,11:48,92.208,,,
8/4/2020,SJB07,2,11,4,grainsize,Y,2,C45,37.8178,112.0704,8/4/2020,11:48,97.8981,,,
8/4/2020,SJB07,2,10,5,LOI analysis ,Y,2,C58,35.3372,101.2607,8/4/2020,11:48,84.2768,,,
8/4/2020,SJB07,2,9,6,LOI analysis ,Y,2,C59,40.1717,103.0112,8/4/2020,11:48,86.2651,,,
8/4/2020,SJB07,2,8,7,LOI analysis ,N,2,C64,33.703,95.2246,8/4/2020,11:48,79.1608,,,
8/4/2020,SJB07,2,6,9,grainsize,N,2,C66,36.235,110.4901,8/4/2020,11:48,89.7556,,,
8/4/2020,SJB07,2,5,10,LOI analysis ,N,2,4,42.7234,113.5092,8/4/2020,11:48,92.7213,,,
8/4/2020,SJB07,2,1,14,LOI analysis ,N,2,C60,40.0193,112.5603,8/4/2020,11:48,93.7254,,,
8/11/2020,SJBA,1,18,1,LOI analysis ,Y,1.9,29,41.2524,99.1136,8/11/2020,11:17,89.1573,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,17,2,LOI analysis ,Y,2,30,38.5861,101.4941,8/11/2020,11:17,90.3471,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,16,3,LOI analysis ,Y,2,C69,35.2601,106.6309,8/11/2020,11:17,93.4974,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,15,4,grainsize,Y,2,14,41.1735,104.4271,8/11/2020,11:17,92.4516,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,14,5,LOI analysis ,Y,2,7,40.3396,119.6363,8/11/2020,11:17,104.5268,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,13,6,LOI analysis ,Y,2,C65,38.9616,106.4892,8/11/2020,11:17,93.6868,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,12,7,LOI analysis ,N,2,C36,32.6598,106.5873,8/11/2020,11:17,92.5654,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,10,9,grainsize,N,2,C71,36.8343,109.055,8/11/2020,11:17,95.0523,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,9,10,LOI analysis ,N,2,C77,34.971,103.464,8/11/2020,11:17,90.4336,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,5,14,grainsize,N,2,22,39.6447,105.9427,8/11/2020,11:17,93.384,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,4,15,LOI analysis ,N,2,C45,37.9202,112.6768,8/11/2020,11:17,98.117,8/14/2020,,Top row of newer oven
8/11/2020,SJBA,1,1,18,LOI analysis ,N,2,C55,34.9128,89.3639,8/11/2020,11:17,79.8422,8/14/2020,,Top row of newer oven
8/11/2020,SJB10,3,20,1,LOI analysis ,Y,1.8,C60,40.2324,99.198,8/11/2020,12:07,87.7755,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,19,2,LOI analysis ,Y,2,17,36.407,92.1055,8/11/2020,12:07,80.4913,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,18,3,LOI analysis ,Y,2,20,39.5912,98.9638,8/11/2020,12:07,86.1072,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,17,4,grain size,Y,2,25,37.4513,96.1086,8/11/2020,12:07,82.0514,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,16,5,LOI analysis ,Y,2,73,35.269,92.9626,8/11/2020,12:07,79.2136,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,15,6,LOI analysis ,Y,2,4,42.7571,100.7408,8/11/2020,12:07,85.9312,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,14,7,LOI analysis ,N,2,C59,40.2719,95.8117,8/11/2020,12:07,80.0629,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,12,9,grainsize,N,2,6,41.1113,92.2638,8/11/2020,12:07,81.4962,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,11,10,LOI analysis ,N,2,18,40.8245,102.9123,8/11/2020,12:07,85.9903,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,7,14,grainsize,N,2,C64,33.7782,93.4988,8/11/2020,12:07,78.7131,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,6,15,LOI analysis ,N,2,11,40.8587,103.953,8/11/2020,12:07,88.3954,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,2,19,grainsize,N,2,C58,35.4239,104.4865,8/11/2020,12:07,87.2176,8/14/2020,,Middlw row of newer oven
8/11/2020,SJB10,3,1,20,LOI analysis ,N,2,C37,37.3935,9.7768,8/11/2020,12:07,78.0291,8/14/2020,,Middlw row of newer oven
8/14/2020,SJB06,1,17,1,LOI analysis ,Y,2.7,C63,38.8464,133.7483,8/14/2020,10:04,110.6221,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,16,2,LOI analysis ,Y,2,C33,37.6317,104.7433,8/14/2020,10:04,84.7131,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,15,3,LOI analysis ,Y,2,C54,35.3032,106.1905,8/14/2020,10:04,82.7338,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,14,4,grain size,Y,2,24,37.9455,113.5134,8/14/2020,10:04,93.2972,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,13,5,LOI analysis ,Y,2,15,42.0246,158.0253,8/14/2020,10:04,96.8593,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,12,6,LOI analysis ,Y,2,12,40.0867,112.3303,8/14/2020,10:04,92.4189,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,11,7,LOI analysis ,N,2,C66,36.3086,116.3119,8/14/2020,10:04,93.5622,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,9,9,grainsize,N,2,10,41.9426,121.6026,8/14/2020,10:04,103.3043,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,8,10,LOI analysis ,N,2,C32,33.3454,119.8771,8/14/2020,10:04,96.2454,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,4,14,grainsize,N,2,C41,33.1643,110.2788,8/14/2020,10:04,88.8322,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,3,15,LOI analysis ,N,2,C38,35.6857,108.2454,8/14/2020,10:04,84.1995,8/19/2020,,bottom row of newer oven
8/14/2020,SJB06,1,1,17,LOI analysis ,N,2,C57,35.4721,108.0961,8/14/2020,10:04,92.75,8/19/2020,,bottom row of newer oven
8/18/2020,SJBB,1,14,1,LOI analysis ,Y,3.4,C58,35.3396,145.8261,8/18/2020,12:13,124.5862,8/20/2020,,
8/18/2020,SJBB,1,13,2,LOI analysis ,Y,2,C77,34.9591,104.2262,8/18/2020,12:13,91.205,8/20/2020,,
8/18/2020,SJBB,1,12,3,LOI analysis ,Y,2,C55,34.8662,99.3085,8/18/2020,12:13,87.0343,8/20/2020,,
8/18/2020,SJBB,1,11,4,grain size,Y,2,22,39.6745,114.6742,8/18/2020,12:13,100.1251,8/20/2020,,
8/18/2020,SJBB,1,10,5,LOI analysis ,Y,2,7,40.34,107.6977,8/18/2020,12:13,94.7593,8/20/2020,,
8/18/2020,SJBB,1,9,6,LOI analysis ,Y,2,11,40.84,106.4093,8/18/2020,12:13,97.8226,8/20/2020,,
8/18/2020,SJBB,1,8,7,LOI analysis ,N,2,C64,33.8014,11.363,8/18/2020,12:13,92.0899,8/20/2020,,
8/18/2020,SJBB,1,6,9,grainsize,N,2,18,40.8203,110.7216,8/18/2020,12:13,96.6111,8/20/2020,,
8/18/2020,SJBB,1,5,10,LOI analysis ,N,2,6,41.1118,110.5673,8/18/2020,12:13,96.5154,8/20/2020,,
8/18/2020,SJBB,1,1,14,LOI analysis ,N,2,C71,36.7736,113.8716,8/18/2020,12:13,97.8991,8/20/2020,,
8/18/2020,SJBC,1,14,1,LOI analysis ,Y,4,20,39.295,159.167,8/18/2020,12:13,136.7451,8/20/2020,,
8/18/2020,SJBC,1,13,2,LOI analysis ,Y,2,25,37.4377,99.0597,8/18/2020,12:13,87.4997,8/20/2020,,
8/18/2020,SJBC,1,12,3,LOI analysis ,Y,2,73,35.1684,100.3915,8/18/2020,12:13,88.1455,8/20/2020,,
8/18/2020,SJBC,1,11,4,grain size,Y,2,30,38.4385,111.0162,8/18/2020,12:13,97.3198,8/20/2020,,
8/18/2020,SJBC,1,10,5,LOI analysis ,Y,2,C69,35.2307,109.5291,8/18/2020,12:13,95.2175,8/20/2020,,
8/18/2020,SJBC,1,9,6,LOI analysis ,Y,2,C37,37.4323,108.7153,8/18/2020,12:13,94.9107,8/20/2020,,
8/18/2020,SJBC,1,8,7,LOI analysis ,N,2,4,42.7541,107.9689,8/18/2020,12:13,98.127,8/20/2020,,
8/18/2020,SJBC,1,6,9,grainsize,N,2,17,36.4005,109.3374,8/18/2020,12:13,95.7437,8/20/2020,,
8/18/2020,SJBC,1,5,10,LOI analysis ,N,2,C60,40.0811,111.5246,8/18/2020,12:13,97.8509,8/20/2020,,
8/18/2020,SJBC,1,1,14,LOI analysis ,N,2,14,41.2124,120.5912,8/18/2020,12:13,102.1283,8/20/2020,,
